,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,-0.21,0.23,5.00,49.76,29.13,62.62,-0.18,0.18,6.00,52.68,38.83,62.14,-0.34,0.21,6.00,46.83,28.16,59.22,-0.51,0.17,7.00,36.59,28.64,50.00,-0.52,0.17,8.00,39.51,23.30,49.51,-0.45,0.16,10.00,40.49,25.73,50.49,-0.43,0.16,10.00,40.98,29.61,51.94,-0.37,0.15,13.00,42.44,32.04,54.37,-0.37,0.15,13.00,41.26,31.40,54.59,-0.47,0.15,13.00,38.83,27.05,49.76,-0.50,0.15,15.00,37.32,24.29,50.95,-0.41,0.16,15.00,42.38,28.91,54.50,-0.40,0.15,16.00,41.71,28.77,56.13,-0.49,0.14,16.00,38.39,25.47,50.94,-0.46,0.14,15.00,39.81,25.94,51.89,-0.58,0.14,14.00,33.17,22.01,46.41,-0.59,0.13,14.00,32.69,20.57,45.93
ARMENIA,ARM,-0.47,0.56,1.00,36.10,5.34,67.48,-0.74,0.28,4.00,26.83,5.83,44.17,-0.65,0.25,5.00,30.24,8.25,51.46,-0.65,0.23,5.00,34.15,12.62,48.06,-0.55,0.18,6.00,36.10,18.93,48.54,-0.61,0.17,7.00,29.27,17.48,47.09,-0.63,0.16,8.00,32.20,18.93,44.66,-0.59,0.16,12.00,34.15,20.87,44.66,-0.68,0.16,12.00,29.13,17.39,40.10,-0.63,0.14,13.00,31.55,18.84,42.03,-0.56,0.15,13.00,33.49,23.33,47.62,-0.65,0.14,13.00,30.48,19.43,42.18,-0.60,0.14,13.00,32.23,21.23,44.81,-0.52,0.13,14.00,37.44,25.47,48.11,-0.46,0.14,13.00,40.28,25.94,51.89,-0.44,0.15,13.00,40.38,28.71,51.67,-0.45,0.14,13.00,38.94,27.75,51.20
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.15,0.39,1.00,85.37,71.36,91.75,1.27,0.32,1.00,88.29,73.79,92.72,1.28,0.42,1.00,88.78,72.33,94.66,1.30,0.41,1.00,89.32,73.43,94.20,1.32,0.40,1.00,89.81,73.91,94.69,1.11,0.29,2.00,84.21,72.86,90.95,1.13,0.29,2.00,84.29,72.99,91.94,1.12,0.28,2.00,83.89,72.64,91.98,1.12,0.30,2.00,82.94,72.17,91.51,1.14,0.30,2.00,82.94,72.17,91.51,1.03,0.31,2.00,81.25,69.86,90.91,1.31,0.29,2.00,89.42,77.03,92.82
AUSTRALIA,AUS,1.89,0.23,5.00,93.66,90.78,98.06,1.77,0.19,5.00,93.17,91.75,94.66,1.96,0.23,5.00,94.15,92.23,97.57,1.75,0.16,6.00,92.20,91.26,93.69,1.94,0.17,6.00,94.15,91.75,97.57,2.10,0.16,6.00,96.59,91.75,98.06,1.97,0.16,6.00,96.10,92.72,98.54,1.99,0.17,7.00,95.61,92.23,98.54,2.05,0.18,7.00,95.63,92.75,98.55,2.07,0.17,7.00,96.12,93.24,98.55,2.08,0.15,8.00,96.17,93.81,99.05,2.04,0.15,9.00,95.24,93.36,98.58,2.08,0.16,10.00,96.21,93.40,99.53,2.01,0.15,10.00,95.73,93.40,98.11,1.77,0.14,10.00,93.84,90.57,95.75,1.87,0.14,10.00,95.19,92.34,96.65,1.91,0.14,10.00,95.19,92.34,97.13
AUSTRIA,AUT,1.93,0.23,5.00,94.15,91.26,98.54,2.07,0.19,5.00,94.63,92.72,100.00,1.95,0.23,5.00,93.66,92.23,97.57,2.09,0.18,5.00,94.63,92.23,99.03,2.10,0.20,5.00,97.07,92.72,99.03,2.15,0.18,6.00,97.07,91.75,98.54,1.96,0.18,6.00,95.12,92.72,98.54,1.99,0.19,7.00,95.12,91.75,98.54,2.11,0.19,7.00,96.12,93.24,99.03,1.92,0.19,7.00,94.66,91.79,97.58,1.76,0.18,8.00,93.30,90.95,95.24,1.63,0.19,8.00,92.38,86.26,93.84,1.44,0.17,9.00,89.57,83.96,92.92,1.36,0.16,9.00,88.63,82.08,91.51,1.52,0.16,9.00,90.05,84.91,93.87,1.44,0.15,8.00,90.38,82.78,92.34,1.49,0.15,8.00,90.38,86.60,92.34
AZERBAIJAN,AZE,-1.25,0.31,2.00,6.34,0.97,27.18,-1.12,0.19,5.00,8.29,2.43,24.27,-1.09,0.19,7.00,7.32,3.40,24.76,-1.05,0.15,7.00,10.73,1.94,28.16,-0.95,0.15,8.00,15.12,8.74,29.13,-1.11,0.16,9.00,10.73,5.34,18.93,-0.99,0.14,10.00,16.10,9.22,25.73,-1.00,0.16,12.00,15.12,7.28,25.73,-1.03,0.16,12.00,12.62,6.76,21.74,-1.04,0.14,12.00,12.62,5.31,21.74,-1.11,0.14,13.00,10.05,5.24,20.95,-1.18,0.13,13.00,9.52,2.84,18.48,-1.12,0.13,13.00,11.37,4.72,19.34,-1.08,0.13,13.00,12.80,5.19,21.23,-0.90,0.14,12.00,18.96,11.32,28.77,-0.92,0.15,11.00,17.79,10.05,29.19,-0.82,0.14,11.00,20.19,11.96,32.54
"BAHAMAS, THE",BHS,1.20,0.47,2.00,85.37,67.48,94.17,1.35,0.46,2.00,87.32,71.84,94.66,1.39,0.46,2.00,90.24,73.79,94.66,1.45,0.39,2.00,90.73,79.61,94.66,1.40,0.35,2.00,91.22,77.18,94.17,1.40,0.35,2.00,91.71,78.16,94.66,1.33,0.29,2.00,89.76,78.64,92.72,1.38,0.35,2.00,90.73,77.67,94.17,1.37,0.36,2.00,91.26,74.40,93.72,1.38,0.35,2.00,91.26,75.36,94.69,1.37,0.27,3.00,89.47,79.05,93.81,1.36,0.25,3.00,88.57,80.09,93.36,1.36,0.25,3.00,89.10,79.72,93.40,1.35,0.23,3.00,88.15,79.72,93.40,1.37,0.23,3.00,89.10,79.72,93.40,1.29,0.23,3.00,88.94,79.90,92.34,1.29,0.22,3.00,88.46,79.90,91.87
BAHRAIN,BHR,0.17,0.30,3.00,62.93,42.72,76.70,0.10,0.22,3.00,61.95,45.15,67.48,0.37,0.30,3.00,66.83,57.28,81.07,0.77,0.19,4.00,78.54,69.42,83.01,0.45,0.23,5.00,71.22,57.77,77.67,0.53,0.21,6.00,71.71,60.68,79.13,0.47,0.20,6.00,68.78,59.22,74.76,0.24,0.21,6.00,63.90,54.85,72.33,0.25,0.22,6.00,65.05,56.52,73.43,0.25,0.21,6.00,64.08,56.52,73.43,0.24,0.19,8.00,65.55,57.62,71.90,0.25,0.19,8.00,64.29,56.40,72.04,0.24,0.18,8.00,64.45,56.13,71.70,0.40,0.18,8.00,68.72,61.79,73.11,0.46,0.18,8.00,69.67,63.21,74.53,0.30,0.18,7.00,64.42,57.42,70.33,0.17,0.17,6.00,62.50,55.02,68.90
BANGLADESH,BGD,-0.73,0.30,3.00,27.32,6.80,44.66,-0.44,0.21,4.00,39.02,26.21,56.31,-0.94,0.20,6.00,15.61,5.34,31.55,-1.18,0.16,6.00,4.88,0.49,23.79,-1.33,0.18,7.00,3.90,1.46,11.17,-1.49,0.19,9.00,2.93,0.00,10.19,-1.41,0.18,9.00,4.88,0.00,12.62,-1.43,0.16,11.00,3.41,0.97,10.19,-1.05,0.17,12.00,11.65,4.35,21.74,-1.02,0.16,12.00,14.56,4.83,24.15,-1.03,0.17,12.00,14.83,5.71,24.76,-1.02,0.17,13.00,14.76,5.21,25.12,-1.05,0.16,14.00,14.69,5.19,22.64,-0.86,0.15,14.00,20.85,11.32,31.13,-0.89,0.15,13.00,20.38,11.32,29.72,-0.91,0.15,12.00,18.75,10.05,29.19,-0.88,0.14,12.00,18.27,11.00,30.62
BARBADOS,BRB,1.36,0.56,1.00,89.27,70.39,98.06,1.38,0.51,1.00,90.73,70.39,95.15,1.38,0.50,1.00,89.76,72.33,95.15,1.30,0.47,1.00,89.27,70.87,94.17,1.32,0.38,1.00,89.27,75.24,94.17,1.23,0.37,2.00,85.85,75.24,91.75,1.30,0.31,2.00,89.27,74.76,92.72,1.28,0.28,3.00,89.27,77.67,92.23,1.37,0.30,3.00,90.78,78.26,93.24,1.31,0.30,2.00,86.41,75.36,93.24,1.33,0.25,3.00,86.60,79.05,92.86,1.44,0.25,3.00,89.52,81.52,93.36,1.76,0.25,3.00,93.36,88.68,98.11,1.67,0.27,3.00,92.89,84.91,95.75,1.62,0.26,3.00,91.47,83.02,95.75,1.03,0.26,3.00,81.73,70.81,90.43,1.79,0.29,2.00,92.79,89.00,99.04
