,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,0.02,0.36,4.00,46.86,26.44,64.42,-0.18,0.33,4.00,38.65,23.08,58.65,0.05,0.30,5.00,47.83,31.25,65.38,-0.86,0.28,6.00,20.77,13.94,30.29,-0.38,0.28,6.00,33.82,22.60,47.12,-0.57,0.28,7.00,26.57,18.27,40.38,-0.01,0.27,7.00,45.89,32.21,59.62,0.02,0.24,8.00,46.38,33.17,58.65,0.12,0.24,8.00,47.34,36.06,62.02,-0.07,0.24,8.00,41.35,30.14,55.50,-0.24,0.24,8.00,36.97,25.00,50.47,-0.09,0.24,8.00,42.65,29.72,55.66,0.14,0.24,9.00,51.18,39.15,63.68,0.08,0.22,9.00,48.82,37.74,60.85,0.05,0.22,9.00,47.87,36.79,61.32,-0.01,0.19,9.00,46.19,34.12,57.82,-0.07,0.20,9.00,44.76,34.12,55.92
ARMENIA,ARM,-0.52,0.48,2.00,28.50,10.58,54.81,-0.76,0.38,3.00,22.22,10.58,39.42,-0.80,0.40,3.00,22.22,9.62,38.94,-0.36,0.40,3.00,32.85,18.75,56.73,0.20,0.33,3.00,49.76,34.13,70.19,-0.12,0.32,4.00,40.10,25.00,60.58,-0.06,0.30,5.00,43.48,28.85,59.62,-0.28,0.27,6.00,35.75,25.48,51.92,0.11,0.26,6.00,46.86,33.65,63.94,-0.02,0.26,6.00,43.75,30.14,58.85,0.23,0.26,6.00,51.66,38.21,69.34,0.03,0.26,6.00,47.87,32.55,61.79,-0.09,0.25,6.00,42.65,30.19,58.02,0.11,0.23,7.00,50.71,38.21,62.74,0.07,0.23,7.00,49.76,36.79,61.79,-0.30,0.20,7.00,34.76,24.64,47.87,-0.29,0.20,7.00,35.71,24.17,51.18
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.03,0.44,1.00,82.13,55.77,100.00,1.41,0.38,2.00,99.03,70.19,100.00,1.35,0.37,2.00,96.14,67.79,100.00,1.34,0.35,2.00,96.62,72.60,100.00,1.36,0.34,2.00,97.12,72.25,100.00,1.14,0.31,3.00,89.10,69.34,100.00,1.12,0.30,3.00,88.63,67.92,99.53,1.30,0.29,3.00,94.31,70.28,99.53,1.30,0.27,3.00,93.36,73.11,99.53,1.34,0.28,3.00,95.73,75.00,99.53,1.20,0.24,3.00,92.86,73.93,99.53,1.26,0.25,3.00,94.29,73.93,99.53
AUSTRALIA,AUS,1.33,0.36,4.00,97.10,70.19,100.00,1.00,0.33,4.00,82.13,61.06,100.00,1.26,0.30,5.00,93.72,72.12,100.00,1.11,0.28,6.00,85.99,65.38,99.52,0.85,0.28,6.00,75.36,57.69,96.15,0.92,0.28,7.00,78.74,62.50,96.15,0.88,0.27,7.00,76.33,59.62,94.71,0.91,0.26,7.00,77.29,60.10,95.67,0.92,0.26,7.00,79.23,62.02,96.63,0.95,0.26,7.00,79.33,63.16,97.13,0.83,0.24,8.00,76.30,61.32,91.51,0.87,0.24,8.00,77.73,63.68,92.45,0.93,0.24,9.00,74.41,64.15,94.81,1.00,0.22,9.00,81.52,68.40,96.70,1.02,0.22,9.00,83.41,66.51,97.64,1.02,0.19,9.00,85.24,69.19,97.16,0.90,0.20,9.00,76.67,64.93,92.89
AUSTRIA,AUT,1.33,0.36,4.00,96.62,70.19,100.00,1.07,0.33,4.00,85.99,62.50,100.00,0.79,0.30,5.00,74.40,56.73,94.23,1.28,0.28,6.00,95.17,74.52,100.00,0.95,0.28,6.00,80.68,62.50,97.12,1.07,0.28,7.00,84.54,66.35,99.04,1.10,0.27,7.00,86.47,66.83,99.52,1.08,0.26,7.00,86.47,66.35,100.00,1.27,0.26,7.00,96.14,77.40,100.00,1.34,0.26,7.00,96.63,77.99,100.00,1.17,0.24,8.00,90.05,73.11,99.53,1.12,0.24,8.00,89.10,70.75,97.64,1.17,0.24,9.00,90.52,70.28,99.06,1.32,0.22,9.00,94.31,78.77,99.53,1.34,0.22,9.00,96.21,80.19,99.53,1.26,0.19,9.00,95.71,78.67,99.53,1.19,0.20,9.00,90.48,74.88,99.05
AZERBAIJAN,AZE,-0.92,0.40,3.00,18.84,8.65,37.98,-0.83,0.33,4.00,19.81,10.58,33.65,-0.93,0.33,4.00,19.32,9.62,33.65,-1.29,0.31,4.00,14.49,4.33,23.56,-1.00,0.30,4.00,19.81,9.62,28.85,-1.09,0.29,5.00,15.94,6.73,25.00,-1.11,0.28,6.00,16.91,6.73,25.96,-1.08,0.27,6.00,16.43,8.65,26.92,-0.65,0.26,6.00,24.64,16.35,37.02,-0.33,0.26,6.00,32.69,20.10,48.80,-0.29,0.24,7.00,35.07,22.64,48.11,-0.25,0.24,7.00,36.02,25.94,51.89,-0.52,0.24,7.00,29.38,19.81,41.51,-0.69,0.23,7.00,23.70,16.98,36.79,-0.41,0.23,7.00,32.70,20.75,45.75,-0.54,0.20,7.00,27.62,17.54,36.97,-0.69,0.20,7.00,22.38,13.74,34.60
"BAHAMAS, THE",BHS,0.98,0.43,3.00,82.13,54.81,100.00,0.99,0.38,3.00,80.19,58.65,100.00,1.19,0.40,3.00,87.92,65.38,100.00,0.90,0.40,3.00,79.71,52.88,99.04,0.82,0.33,3.00,71.98,53.85,97.12,0.92,0.32,4.00,78.26,60.58,98.56,0.95,0.32,4.00,79.23,59.62,99.52,0.85,0.32,4.00,74.40,54.33,96.15,0.75,0.30,4.00,71.98,52.88,93.75,0.80,0.30,4.00,72.60,54.55,95.69,0.86,0.27,5.00,77.73,59.43,93.87,0.99,0.27,5.00,83.89,65.57,94.81,1.09,0.26,5.00,88.15,68.87,99.06,1.17,0.25,5.00,91.00,70.75,99.53,1.12,0.25,5.00,90.05,67.45,99.06,0.95,0.21,5.00,80.00,65.88,96.21,0.96,0.22,5.00,80.48,64.93,94.79
BAHRAIN,BHR,-0.41,0.36,4.00,32.85,18.27,52.88,-0.26,0.33,4.00,33.82,21.15,56.25,-0.02,0.33,4.00,43.00,28.37,65.38,0.19,0.31,4.00,48.79,35.58,67.79,0.43,0.30,4.00,58.45,39.42,80.29,0.29,0.28,6.00,55.56,38.94,73.56,-0.02,0.28,6.00,45.41,30.77,59.62,-0.39,0.27,6.00,32.37,22.60,47.60,-0.24,0.26,6.00,36.71,24.52,50.48,-0.24,0.26,6.00,36.06,24.40,52.15,-0.16,0.24,7.00,39.81,27.36,51.89,-0.51,0.24,7.00,27.96,19.81,42.45,-0.96,0.24,7.00,18.48,10.85,29.25,-1.14,0.23,7.00,15.17,7.55,22.17,-1.35,0.23,7.00,8.53,6.13,18.40,-0.93,0.20,7.00,15.71,9.48,25.59,-1.08,0.20,7.00,11.90,8.53,21.33
BANGLADESH,BGD,-0.61,0.36,4.00,25.12,12.50,45.19,-0.45,0.33,4.00,29.47,16.83,49.52,-0.77,0.33,4.00,23.67,12.50,37.02,-1.08,0.30,5.00,17.87,10.10,27.40,-1.14,0.29,5.00,17.39,6.25,26.44,-1.38,0.28,6.00,10.14,4.81,19.23,-1.84,0.28,6.00,4.35,1.44,10.10,-1.47,0.25,7.00,8.70,4.81,17.31,-1.50,0.24,7.00,9.18,5.29,15.87,-1.48,0.24,7.00,9.62,5.26,16.27,-1.54,0.24,7.00,9.00,4.72,15.09,-1.40,0.24,7.00,9.95,4.72,16.51,-1.39,0.24,8.00,9.00,4.72,16.98,-1.35,0.22,8.00,9.00,5.66,17.92,-1.63,0.23,8.00,7.58,4.72,10.85,-0.92,0.20,8.00,16.19,9.48,25.59,-1.15,0.20,8.00,10.95,8.06,21.33
BARBADOS,BRB,0.96,0.48,2.00,81.64,50.96,100.00,0.99,0.44,2.00,81.64,55.77,100.00,1.05,0.46,2.00,82.61,56.73,100.00,0.99,0.44,2.00,81.64,54.33,100.00,0.90,0.36,2.00,79.71,56.73,98.56,1.15,0.34,3.00,89.86,65.38,100.00,1.15,0.35,3.00,87.92,64.90,100.00,0.94,0.33,4.00,78.74,58.65,99.52,1.09,0.31,4.00,86.47,66.35,100.00,1.10,0.30,4.00,87.98,67.46,100.00,1.06,0.28,5.00,87.20,68.87,99.53,1.09,0.27,5.00,87.68,67.92,99.06,1.27,0.27,5.00,92.89,71.23,99.53,1.22,0.25,5.00,92.42,72.64,99.53,1.30,0.25,5.00,92.89,75.00,99.53,1.30,0.21,5.00,96.19,79.62,99.53,1.32,0.23,4.00,96.67,79.62,99.53
