,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BELARUS,BLR,0.00,0.48,2.00,45.41,21.15,72.12,0.02,0.38,3.00,46.38,25.96,67.31,0.06,0.40,3.00,48.31,27.40,69.71,0.22,0.40,3.00,52.17,29.81,79.33,0.68,0.33,3.00,68.60,48.08,95.19,0.16,0.32,4.00,52.66,32.69,71.15,0.35,0.32,4.00,57.00,40.38,75.96,0.13,0.28,5.00,51.21,33.17,64.90,0.31,0.27,5.00,55.07,38.94,72.12,0.50,0.27,5.00,62.98,45.93,79.90,0.47,0.27,5.00,62.56,45.28,80.66,-0.13,0.27,5.00,40.76,26.42,55.66,-0.12,0.26,5.00,41.71,29.25,58.02,0.02,0.23,7.00,45.97,36.79,59.91,-0.04,0.23,7.00,45.50,32.55,58.96,0.12,0.20,7.00,50.95,36.97,61.14,0.00,0.21,7.00,47.62,34.60,57.82
BELGIUM,BEL,1.21,0.36,4.00,92.75,63.46,100.00,0.97,0.33,4.00,79.23,59.62,100.00,1.04,0.30,5.00,81.64,65.38,99.04,1.17,0.28,6.00,87.44,67.79,99.52,0.83,0.28,6.00,74.40,57.21,96.15,0.70,0.28,7.00,71.50,54.33,89.90,0.78,0.27,7.00,69.57,56.25,89.90,0.85,0.26,7.00,73.91,58.65,95.19,0.77,0.26,7.00,72.46,56.25,93.27,0.62,0.26,7.00,67.79,52.15,85.65,0.79,0.24,8.00,73.93,59.43,90.57,0.78,0.24,8.00,72.04,57.08,89.62,0.93,0.24,9.00,75.36,64.15,94.81,0.90,0.22,9.00,74.41,63.21,92.92,0.92,0.22,9.00,75.83,65.09,92.45,0.71,0.19,9.00,70.00,59.24,85.78,0.60,0.20,9.00,65.24,56.87,77.73
BELIZE,BLZ,0.46,0.48,2.00,60.39,34.62,95.19,0.50,0.44,2.00,62.32,36.54,94.23,0.10,0.46,2.00,49.76,26.44,76.92,0.34,0.44,2.00,57.49,30.29,85.10,0.47,0.36,2.00,61.84,38.94,85.58,0.44,0.34,3.00,61.35,40.38,80.29,0.11,0.35,3.00,50.72,32.21,66.83,0.05,0.29,4.00,47.34,31.25,62.98,0.16,0.29,4.00,48.79,34.62,68.75,0.18,0.29,4.00,50.96,33.97,68.90,0.03,0.29,4.00,45.50,30.66,63.68,0.06,0.28,4.00,49.29,32.55,64.62,0.15,0.27,5.00,51.66,38.21,64.62,0.18,0.26,4.00,52.61,38.21,65.09,0.17,0.26,4.00,54.03,38.21,65.57,0.05,0.22,5.00,49.05,34.60,59.24,0.04,0.22,5.00,50.95,35.55,59.24
BENIN,BEN,0.96,0.48,2.00,81.64,50.96,100.00,0.66,0.44,2.00,68.60,41.35,98.56,0.72,0.46,2.00,70.53,42.31,96.63,0.74,0.44,2.00,71.50,44.71,97.60,0.66,0.36,2.00,67.63,47.12,95.19,0.26,0.34,3.00,54.59,36.06,74.52,0.45,0.32,4.00,60.39,42.79,79.81,0.51,0.25,6.00,62.32,48.56,78.37,0.33,0.25,6.00,55.56,39.90,71.63,0.33,0.25,6.00,55.77,40.19,71.29,0.38,0.26,6.00,57.35,42.92,74.06,0.22,0.25,6.00,52.61,39.15,67.92,0.29,0.25,6.00,56.40,41.51,68.87,0.32,0.24,6.00,57.82,42.45,69.34,0.26,0.24,6.00,57.82,41.51,66.51,0.04,0.22,5.00,48.57,34.12,59.24,0.00,0.21,6.00,48.10,34.60,58.29
BERMUDA,BMU,0.64,0.61,1.00,66.18,34.62,100.00,0.65,0.58,1.00,67.15,32.21,100.00,0.64,0.59,1.00,67.15,34.62,99.04,0.72,0.52,1.00,69.08,41.83,99.52,0.82,0.42,1.00,73.91,48.08,99.04,0.91,0.38,2.00,77.78,55.77,99.04,0.84,0.38,2.00,72.46,54.81,99.52,0.81,0.37,2.00,71.98,52.88,99.04,0.80,0.35,2.00,74.40,52.88,96.63,0.82,0.34,2.00,74.04,53.59,99.04,0.72,0.34,2.00,70.62,50.47,92.92,0.94,0.35,2.00,80.57,57.08,97.64,0.99,0.34,2.00,81.52,61.32,99.06,1.00,0.31,2.00,81.99,62.74,99.06,0.99,0.33,2.00,81.52,62.26,99.06,0.94,0.27,2.00,78.57,62.09,98.10,1.01,0.29,2.00,85.71,61.14,98.58
BHUTAN,BTN,0.61,0.48,2.00,63.77,40.38,99.52,0.44,0.44,2.00,60.39,33.17,89.42,0.41,0.46,2.00,60.39,33.65,87.50,0.60,0.44,2.00,64.25,41.83,95.19,0.90,0.36,2.00,79.71,56.73,98.56,1.17,0.34,3.00,91.30,66.35,100.00,1.30,0.35,3.00,94.20,67.79,100.00,1.30,0.34,3.00,95.65,67.79,100.00,0.62,0.32,3.00,68.60,46.63,89.42,0.75,0.32,3.00,71.15,52.15,95.69,0.82,0.29,4.00,75.83,54.72,93.87,0.77,0.28,4.00,71.56,55.66,91.98,0.85,0.27,4.00,71.56,60.85,93.87,0.81,0.26,4.00,72.51,59.91,92.92,0.80,0.25,5.00,70.62,60.85,91.51,1.08,0.21,5.00,87.62,70.62,98.10,1.10,0.22,5.00,89.05,71.09,98.58
BOLIVIA,BOL,-0.25,0.36,4.00,38.65,20.67,56.25,-0.29,0.33,4.00,33.33,19.71,55.77,-0.31,0.33,4.00,34.78,20.19,55.29,-0.39,0.30,5.00,30.43,19.71,47.12,-0.86,0.29,5.00,22.22,12.50,33.65,-0.69,0.28,6.00,23.67,14.90,37.50,-0.98,0.28,6.00,18.36,8.17,29.33,-0.82,0.25,7.00,22.71,13.46,31.25,-0.84,0.24,7.00,19.32,12.50,30.29,-0.71,0.24,7.00,22.60,13.88,33.49,-0.53,0.24,7.00,27.49,19.34,40.57,-0.44,0.24,7.00,30.33,21.70,43.40,-0.44,0.24,8.00,32.23,20.75,45.75,-0.50,0.22,8.00,30.33,20.28,41.04,-0.35,0.23,8.00,36.49,23.11,46.70,-0.35,0.20,8.00,33.33,23.70,45.50,-0.28,0.20,8.00,36.19,24.17,51.18
BOSNIA AND HERZEGOVINA,BIH,-0.64,0.40,3.00,23.67,10.58,46.63,-0.63,0.37,3.00,25.60,12.50,44.71,-0.59,0.37,3.00,27.54,14.42,45.67,-0.25,0.33,3.00,38.65,23.56,56.73,-0.44,0.32,3.00,30.92,20.67,47.12,-0.03,0.30,5.00,43.96,28.37,61.54,-0.47,0.29,5.00,31.88,20.67,46.15,-0.42,0.28,5.00,31.40,21.15,46.63,-0.60,0.28,5.00,26.09,16.35,38.94,-0.51,0.28,5.00,28.85,16.75,42.11,-0.65,0.28,5.00,24.17,15.09,38.68,-0.69,0.27,5.00,24.64,13.68,36.32,-0.84,0.27,4.00,20.38,11.79,34.43,-0.54,0.23,7.00,28.91,18.87,40.57,-0.38,0.24,7.00,35.55,21.70,46.70,-0.05,0.21,6.00,43.81,30.33,57.82,-0.45,0.21,7.00,30.00,21.33,41.23
BOTSWANA,BWA,0.92,0.36,4.00,77.29,55.29,100.00,0.87,0.33,4.00,76.33,56.73,99.04,0.95,0.33,4.00,78.74,60.10,98.08,0.79,0.30,5.00,72.95,56.73,94.71,1.07,0.29,5.00,85.99,65.38,99.52,0.89,0.31,5.00,76.81,59.62,96.63,1.05,0.28,6.00,84.06,65.38,99.52,0.96,0.25,7.00,80.19,63.46,96.15,0.98,0.24,7.00,82.13,66.83,96.63,0.98,0.24,7.00,81.25,67.46,99.04,0.93,0.24,7.00,82.94,65.09,94.81,0.96,0.24,7.00,81.99,65.57,94.34,1.05,0.24,7.00,83.41,68.40,98.11,1.08,0.22,8.00,88.15,69.34,98.58,1.08,0.23,8.00,85.78,67.45,98.11,1.01,0.20,8.00,83.33,68.25,97.16,1.03,0.20,8.00,86.67,69.67,96.68
BRAZIL,BRA,-0.25,0.36,4.00,38.16,20.67,56.25,-0.37,0.33,4.00,31.40,17.31,50.96,0.18,0.30,5.00,53.14,34.62,69.23,0.28,0.28,6.00,55.07,40.87,71.63,0.00,0.28,6.00,41.06,30.29,60.58,-0.28,0.28,7.00,36.23,23.08,52.88,-0.23,0.27,7.00,38.65,25.96,54.81,-0.28,0.24,8.00,36.23,25.96,49.52,-0.38,0.24,8.00,31.88,21.15,43.27,-0.29,0.24,8.00,34.62,23.44,48.80,0.16,0.24,8.00,50.71,37.26,65.57,0.00,0.24,8.00,46.92,33.02,57.08,-0.14,0.24,9.00,40.76,29.25,55.19,0.05,0.22,9.00,47.87,36.79,59.91,-0.28,0.22,9.00,36.97,25.47,50.47,-0.10,0.19,9.00,42.86,29.86,54.50,-0.38,0.20,9.00,34.29,22.27,45.50
BRUNEI DARUSSALAM,BRN,1.15,0.43,3.00,86.96,60.10,100.00,1.03,0.38,3.00,85.02,59.62,100.00,1.24,0.40,3.00,93.24,65.87,100.00,1.07,0.40,3.00,85.02,60.10,100.00,1.14,0.33,3.00,87.92,64.90,100.00,1.40,0.35,3.00,97.10,74.52,100.00,1.25,0.36,3.00,91.79,66.83,100.00,1.18,0.36,3.00,91.79,64.90,100.00,1.17,0.34,3.00,93.24,68.27,100.00,1.16,0.29,5.00,92.31,69.38,100.00,1.36,0.26,6.00,95.26,83.49,100.00,1.24,0.26,6.00,92.42,74.06,100.00,1.09,0.25,6.00,86.73,68.87,98.58,0.92,0.24,6.00,76.30,63.21,93.87,1.08,0.24,6.00,86.26,67.45,98.58,1.25,0.21,5.00,94.76,76.78,99.53,1.21,0.22,5.00,92.38,73.93,99.53
BULGARIA,BGR,-0.20,0.36,4.00,40.10,21.15,57.69,0.53,0.33,4.00,62.80,43.75,86.54,0.35,0.33,4.00,59.42,37.02,77.88,0.39,0.30,5.00,59.42,42.31,79.33,0.15,0.29,5.00,48.31,35.10,65.38,-0.02,0.28,6.00,44.93,28.85,61.54,0.13,0.28,6.00,51.69,36.06,65.38,0.39,0.24,8.00,58.45,45.67,70.19,0.35,0.24,8.00,57.00,41.83,71.63,0.35,0.24,8.00,56.73,42.58,70.81,0.32,0.24,8.00,54.03,41.98,69.81,0.33,0.24,8.00,55.92,43.40,70.75,0.28,0.24,9.00,55.45,41.98,68.87,0.35,0.22,9.00,59.72,43.87,69.34,0.15,0.22,9.00,52.61,38.21,64.62,0.07,0.19,9.00,50.00,36.97,59.24,0.02,0.20,9.00,49.52,35.55,57.82
BURKINA FASO,BFA,-0.41,0.43,3.00,32.37,14.90,54.81,-0.20,0.38,3.00,38.16,19.71,60.10,-0.01,0.40,3.00,43.48,26.44,67.31,-0.37,0.40,3.00,31.88,18.75,54.81,0.03,0.33,3.00,43.00,28.85,64.90,-0.11,0.32,4.00,41.55,25.00,61.06,-0.08,0.32,4.00,43.00,27.40,60.10,0.14,0.25,7.00,51.69,37.50,63.46,0.29,0.24,7.00,53.62,38.94,70.19,0.10,0.24,7.00,48.08,33.01,62.20,0.01,0.24,7.00,45.02,31.60,59.43,-0.15,0.24,7.00,40.28,26.42,53.77,-0.58,0.24,7.00,28.44,18.40,39.62,-0.59,0.22,8.00,26.54,18.87,38.68,-0.80,0.23,8.00,20.38,13.21,32.55,-0.80,0.20,8.00,20.00,10.90,29.38,-0.65,0.21,7.00,23.33,14.69,35.55
BURUNDI,BDI,-2.24,0.48,2.00,2.90,0.00,8.65,-2.42,0.44,2.00,0.97,0.00,7.69,-2.15,0.46,2.00,1.45,0.00,11.54,-2.39,0.44,2.00,0.48,0.00,8.17,-2.30,0.36,2.00,1.45,0.00,5.77,-2.51,0.34,3.00,0.97,0.48,4.33,-1.51,0.35,3.00,6.76,2.88,20.67,-1.39,0.28,5.00,10.14,4.81,18.75,-1.31,0.28,5.00,10.63,7.21,19.23,-1.63,0.28,5.00,9.13,2.87,13.88,-1.27,0.28,5.00,12.80,5.66,20.75,-1.59,0.27,5.00,7.58,3.77,13.68,-1.78,0.27,5.00,5.21,2.83,10.85,-1.69,0.24,6.00,5.69,3.30,10.85,-1.31,0.24,6.00,9.95,6.13,18.87,-0.80,0.21,6.00,19.52,10.90,29.38,-1.73,0.21,6.00,6.67,5.69,8.53
CAMBODIA,KHM,-1.15,0.40,3.00,14.01,6.25,29.81,-1.30,0.37,3.00,10.63,5.77,24.52,-0.87,0.37,3.00,19.81,9.62,35.58,-0.80,0.33,3.00,23.19,13.94,37.98,-0.70,0.32,3.00,26.09,13.94,37.98,-0.43,0.31,4.00,30.43,19.23,48.08,-0.42,0.29,5.00,34.78,21.15,48.08,-0.38,0.25,6.00,32.85,23.08,46.63,-0.41,0.25,6.00,30.92,19.71,43.27,-0.34,0.25,6.00,32.21,20.57,47.37,-0.59,0.26,6.00,26.54,16.04,39.62,-0.54,0.25,6.00,26.54,17.92,41.98,-0.33,0.25,7.00,36.02,23.11,49.53,-0.14,0.23,7.00,40.76,29.72,55.66,-0.17,0.24,7.00,39.81,26.42,55.19,-0.03,0.20,7.00,45.24,32.23,57.82,-0.10,0.21,7.00,43.81,32.23,55.92
CAMEROON,CMR,-1.06,0.36,4.00,17.87,7.21,31.25,-0.82,0.33,4.00,20.77,10.58,33.65,-0.57,0.33,4.00,28.02,15.38,42.79,-0.72,0.31,4.00,24.64,16.35,39.90,-0.47,0.29,5.00,29.95,21.15,41.35,-0.40,0.29,5.00,31.40,19.71,48.56,-0.18,0.28,6.00,40.58,27.40,55.77,-0.26,0.25,7.00,37.20,25.96,51.44,-0.34,0.24,7.00,33.33,23.08,44.71,-0.55,0.24,7.00,27.40,16.75,38.76,-0.48,0.24,7.00,29.38,19.34,41.51,-0.73,0.24,7.00,23.70,14.15,34.43,-0.66,0.24,8.00,26.54,16.51,39.15,-0.58,0.22,8.00,27.49,18.87,39.15,-0.53,0.23,8.00,28.44,19.34,41.51,-1.03,0.20,8.00,12.86,8.53,22.27,-0.99,0.20,8.00,14.29,9.00,22.75
CANADA,CAN,1.16,0.36,4.00,87.44,63.46,100.00,0.89,0.33,4.00,78.26,58.17,99.52,1.10,0.30,5.00,83.57,65.87,99.04,1.14,0.28,6.00,86.96,67.79,99.52,1.03,0.28,6.00,85.51,63.94,98.56,0.85,0.28,7.00,75.85,60.58,93.75,0.79,0.27,7.00,71.50,56.73,89.90,0.99,0.24,8.00,81.16,64.90,96.15,0.96,0.24,8.00,80.68,66.35,96.63,1.00,0.24,8.00,81.73,67.46,99.04,1.10,0.24,8.00,87.68,69.81,99.06,0.90,0.24,8.00,79.15,64.15,92.92,1.06,0.24,9.00,84.36,68.87,98.11,1.09,0.22,9.00,88.63,69.34,98.58,1.03,0.22,9.00,83.89,66.51,97.64,1.16,0.19,9.00,91.43,75.36,99.05,1.24,0.20,9.00,93.81,77.73,99.53
CAPE VERDE,CPV,0.94,0.64,1.00,79.71,43.27,100.00,1.02,0.58,1.00,84.06,47.60,100.00,1.12,0.62,1.00,86.96,49.52,100.00,0.65,0.44,2.00,67.15,43.27,95.67,0.90,0.36,2.00,79.71,56.73,98.56,1.07,0.38,2.00,83.57,61.54,100.00,0.78,0.40,2.00,70.05,51.44,99.04,0.96,0.32,3.00,80.68,60.10,99.52,0.90,0.32,3.00,78.26,57.69,98.56,0.83,0.32,3.00,74.52,54.07,96.65,0.84,0.29,4.00,77.25,57.08,94.34,0.85,0.27,5.00,77.25,58.02,92.92,0.72,0.30,4.00,69.67,55.19,91.51,0.81,0.25,5.00,72.04,59.91,91.51,0.77,0.25,5.00,69.67,58.96,90.57,0.38,0.23,4.00,59.05,46.45,71.09,0.80,0.24,4.00,71.90,59.24,91.47
CAYMAN ISLANDS,CYM,0.64,0.61,1.00,66.18,34.62,100.00,0.65,0.58,1.00,67.15,32.21,100.00,0.64,0.59,1.00,67.15,34.62,99.04,0.72,0.52,1.00,69.08,41.83,99.52,0.82,0.42,1.00,73.91,48.08,99.04,1.30,0.38,2.00,93.72,71.15,100.00,1.23,0.38,2.00,91.30,65.87,100.00,1.16,0.37,2.00,90.82,62.98,100.00,1.15,0.35,2.00,91.79,66.83,100.00,1.16,0.34,2.00,91.83,67.46,100.00,1.12,0.31,3.00,88.15,68.87,100.00,1.20,0.30,3.00,90.05,70.75,100.00,1.38,0.29,3.00,98.10,73.11,99.53,1.00,0.31,2.00,82.46,62.74,99.06,1.06,0.32,2.00,85.31,64.62,99.06,1.08,0.27,2.00,88.10,67.30,99.53,1.19,0.27,2.00,91.43,71.09,99.53
CENTRAL AFRICAN REPUBLIC,CAF,-1.37,0.48,2.00,9.18,3.37,26.92,-1.29,0.44,2.00,11.59,4.33,27.88,-1.29,0.46,2.00,12.56,2.88,28.85,-1.88,0.44,2.00,3.38,0.00,16.35,-1.59,0.36,2.00,6.76,2.88,20.19,-1.41,0.34,3.00,8.70,4.33,20.19,-1.42,0.35,3.00,8.70,3.37,22.12,-1.84,0.34,3.00,5.80,0.96,12.98,-1.83,0.32,3.00,6.28,2.40,11.06,-1.83,0.32,3.00,6.73,2.39,11.48,-1.88,0.27,5.00,4.74,2.36,9.43,-2.01,0.26,5.00,3.79,1.89,8.02,-1.78,0.26,5.00,4.74,2.83,10.85,-1.87,0.25,5.00,5.21,2.36,7.55,-2.18,0.25,5.00,3.32,1.42,5.66,-2.69,0.22,5.00,0.48,0.00,4.74,-2.09,0.22,5.00,5.24,2.37,7.11
CHAD,TCD,-1.10,0.48,2.00,15.46,4.33,35.58,-1.41,0.44,2.00,10.14,4.33,25.00,-1.25,0.46,2.00,13.04,4.33,30.29,-1.70,0.44,2.00,6.28,0.48,18.75,-1.41,0.34,3.00,10.14,4.33,22.60,-1.50,0.32,4.00,7.25,3.85,19.23,-1.39,0.32,4.00,9.66,4.33,21.63,-1.81,0.25,6.00,6.28,1.92,11.06,-1.86,0.25,6.00,5.80,2.88,9.62,-1.97,0.25,6.00,4.33,2.39,9.57,-1.69,0.26,6.00,6.16,2.83,13.21,-1.51,0.25,6.00,9.00,4.72,14.62,-1.31,0.25,6.00,10.90,5.66,19.81,-1.06,0.24,6.00,17.06,8.02,25.00,-1.10,0.24,6.00,15.17,8.02,23.11,-1.52,0.21,6.00,8.10,6.64,9.95,-0.99,0.21,6.00,14.76,9.00,24.17
CHILE,CHL,0.62,0.36,4.00,64.25,46.63,93.27,-0.02,0.33,4.00,43.96,27.88,62.98,0.43,0.30,5.00,63.29,40.87,78.37,1.00,0.28,6.00,82.13,63.94,97.60,0.74,0.28,6.00,70.05,55.29,94.71,0.68,0.28,7.00,71.01,54.33,87.02,0.85,0.27,7.00,73.43,58.65,93.27,0.58,0.24,8.00,64.73,52.40,80.77,0.40,0.24,8.00,58.45,43.27,74.04,0.41,0.24,8.00,58.65,44.50,73.68,0.59,0.24,8.00,67.30,51.42,84.91,0.67,0.24,8.00,69.67,54.72,86.79,0.46,0.24,9.00,61.61,49.06,71.23,0.34,0.22,9.00,58.77,43.40,68.87,0.38,0.22,9.00,59.72,46.70,68.87,0.46,0.19,9.00,60.95,52.13,72.51,0.40,0.20,9.00,59.05,51.18,70.14
CHINA,CHN,-0.17,0.36,4.00,41.06,21.15,58.65,-0.44,0.33,4.00,30.43,16.83,50.00,-0.28,0.30,5.00,35.27,23.56,54.81,-0.36,0.28,6.00,32.37,22.60,47.12,-0.57,0.28,6.00,28.02,19.23,39.42,-0.36,0.28,7.00,32.37,21.63,49.52,-0.48,0.27,7.00,31.40,21.15,44.71,-0.54,0.24,8.00,28.50,18.27,41.35,-0.49,0.24,8.00,28.50,18.75,38.94,-0.48,0.24,8.00,29.81,18.18,40.19,-0.43,0.24,8.00,30.81,20.28,42.92,-0.66,0.24,8.00,25.12,15.09,35.85,-0.61,0.24,9.00,27.96,17.45,39.15,-0.55,0.22,9.00,28.44,18.87,39.62,-0.55,0.22,9.00,27.01,19.34,39.62,-0.53,0.19,9.00,28.57,18.96,36.97,-0.56,0.20,9.00,27.14,17.54,36.49
COLOMBIA,COL,-1.60,0.36,4.00,8.21,3.37,18.27,-1.76,0.33,4.00,6.76,1.92,12.98,-1.61,0.30,5.00,8.21,1.92,15.38,-1.97,0.28,6.00,2.90,0.48,10.58,-2.39,0.28,6.00,0.97,0.00,4.81,-2.19,0.28,7.00,2.42,0.96,4.81,-2.03,0.27,7.00,2.90,0.96,6.73,-1.85,0.24,8.00,4.83,1.44,9.13,-1.78,0.24,8.00,6.76,3.37,9.62,-1.84,0.24,8.00,5.77,2.39,10.05,-1.83,0.24,8.00,5.21,2.36,9.43,-1.53,0.24,8.00,8.53,4.72,13.68,-1.26,0.24,9.00,12.32,5.66,19.81,-1.40,0.22,9.00,8.06,5.66,17.45,-1.28,0.22,9.00,10.43,7.08,18.87,-1.12,0.19,9.00,10.95,8.53,19.91,-1.06,0.20,9.00,12.38,8.53,21.33
COMOROS,COM,0.37,0.48,2.00,57.00,32.21,87.50,0.45,0.44,2.00,60.87,33.65,89.42,-0.11,0.46,2.00,39.61,19.71,68.75,0.25,0.44,2.00,54.11,28.37,80.77,-0.71,0.36,2.00,25.60,12.98,38.94,-0.13,0.38,2.00,39.13,22.60,62.98,-0.39,0.40,2.00,35.27,17.31,55.77,-0.32,0.39,2.00,33.82,17.79,54.33,-1.06,0.37,2.00,16.43,8.17,29.33,-1.08,0.36,2.00,15.87,9.09,29.67,-0.75,0.32,3.00,21.80,12.26,37.74,-0.50,0.33,3.00,28.44,16.04,48.11,-0.48,0.37,2.00,30.81,15.57,50.47,-0.38,0.29,3.00,35.07,20.28,49.53,-0.19,0.30,3.00,38.86,24.53,58.02,-0.13,0.24,3.00,40.95,28.91,57.35,-0.11,0.26,3.00,40.48,27.96,57.35
"CONGO, DEM. REP.",ZAR,-2.83,0.43,3.00,0.00,0.00,3.37,-2.99,0.38,3.00,0.00,0.00,1.44,-2.58,0.40,3.00,0.00,0.00,5.29,-2.09,0.40,3.00,1.93,0.00,12.02,-2.08,0.33,3.00,3.38,0.48,8.65,-2.39,0.29,5.00,1.45,0.96,4.33,-2.17,0.29,5.00,1.45,0.96,5.77,-2.27,0.32,4.00,0.97,0.48,7.21,-2.21,0.30,4.00,2.90,0.96,8.17,-2.02,0.30,4.00,2.88,1.44,9.57,-1.99,0.25,6.00,3.79,1.89,8.49,-2.22,0.25,6.00,2.84,1.42,4.72,-2.23,0.25,6.00,2.37,0.94,4.72,-2.14,0.24,6.00,2.84,1.42,5.66,-2.23,0.24,6.00,2.37,0.94,4.72,-2.20,0.21,6.00,4.76,2.37,6.64,-2.17,0.21,6.00,3.81,1.42,6.64
"CONGO, REP.",COG,-1.36,0.43,3.00,9.66,3.85,23.56,-1.60,0.38,3.00,8.21,3.37,16.83,-1.03,0.40,3.00,16.91,7.69,33.65,-1.66,0.40,3.00,7.73,0.96,18.75,-1.19,0.33,3.00,15.46,5.77,26.92,-1.14,0.32,4.00,14.98,5.77,25.00,-1.16,0.29,5.00,15.94,6.73,25.96,-0.94,0.28,5.00,17.87,10.10,30.77,-0.76,0.27,5.00,21.74,12.98,33.65,-0.71,0.27,5.00,21.63,13.88,35.89,-0.28,0.25,6.00,36.02,22.64,49.06,-0.33,0.25,6.00,34.12,22.64,49.53,-0.36,0.25,6.00,35.07,21.23,49.06,-0.49,0.24,6.00,30.81,19.81,41.98,-0.48,0.24,6.00,30.33,19.81,42.45,-0.39,0.21,6.00,30.95,21.33,44.55,-0.51,0.21,6.00,28.57,20.85,40.28
COOK ISLANDS,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.28,0.68,1.00,93.84,50.47,100.00,1.45,0.58,1.00,96.68,63.68,100.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COSTA RICA,CRI,0.68,0.36,4.00,69.08,48.08,95.67,0.84,0.33,4.00,75.36,56.25,98.56,0.79,0.33,4.00,73.43,55.29,95.19,0.98,0.30,5.00,80.68,63.46,97.60,0.58,0.29,5.00,64.25,47.12,85.58,0.65,0.28,6.00,68.60,52.88,86.54,0.70,0.28,6.00,67.15,55.29,88.46,0.75,0.27,6.00,68.12,54.33,91.83,0.61,0.26,6.00,68.12,50.00,85.58,0.37,0.26,6.00,57.21,41.63,73.21,0.57,0.26,6.00,65.88,50.00,84.91,0.68,0.26,6.00,70.14,54.25,87.74,0.50,0.25,6.00,63.03,49.53,74.06,0.63,0.23,7.00,66.82,55.66,81.60,0.66,0.23,7.00,66.82,58.02,83.96,0.59,0.20,8.00,65.24,56.40,76.78,0.58,0.20,8.00,63.81,55.92,77.25
C‚TE D'IVOIRE,CIV,0.01,0.36,4.00,45.89,25.96,63.46,-0.26,0.33,4.00,34.30,21.15,56.25,-1.32,0.33,4.00,12.08,5.29,23.56,-1.99,0.31,4.00,2.42,0.48,12.02,-1.84,0.30,4.00,4.83,1.44,12.50,-2.16,0.29,5.00,2.90,0.96,5.77,-2.30,0.29,5.00,0.97,0.00,4.81,-1.89,0.25,6.00,3.86,0.96,8.65,-1.89,0.25,6.00,5.31,2.88,9.62,-1.82,0.24,7.00,7.21,2.39,10.05,-1.28,0.24,7.00,11.37,6.60,19.34,-1.56,0.24,7.00,8.06,4.25,13.68,-1.40,0.24,7.00,8.53,4.72,16.98,-1.26,0.22,8.00,11.37,6.60,19.34,-1.02,0.23,8.00,17.06,8.02,25.00,-1.02,0.20,8.00,13.33,8.53,22.75,-0.86,0.20,8.00,20.48,10.43,27.96
