,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
AUSTRALIA,AUS,1.67,0.19,7.00,96.17,90.48,100.00,1.75,0.19,7.00,96.17,91.43,100.00,1.70,0.16,7.00,95.22,91.43,100.00,1.75,0.18,7.00,95.69,91.43,100.00,1.84,0.18,8.00,95.69,92.38,100.00,1.81,0.17,8.00,95.69,92.38,100.00,1.71,0.17,8.00,94.74,90.95,100.00,1.75,0.17,9.00,94.26,90.48,100.00,1.74,0.17,9.00,94.26,90.00,100.00,1.75,0.17,9.00,95.19,89.95,100.00,1.73,0.16,10.00,94.79,90.09,100.00,1.76,0.16,10.00,94.79,90.09,100.00,1.74,0.14,11.00,94.37,90.19,100.00,1.76,0.15,11.00,94.84,90.19,100.00,1.76,0.15,11.00,95.77,90.19,100.00,1.93,0.17,10.00,96.15,90.43,100.00,1.82,0.16,10.00,94.23,89.47,100.00
AUSTRIA,AUT,1.80,0.19,7.00,98.09,93.33,100.00,1.83,0.19,7.00,97.61,92.38,100.00,1.81,0.16,8.00,99.04,93.33,100.00,1.86,0.18,8.00,98.09,92.86,100.00,1.86,0.18,8.00,97.13,92.86,100.00,1.85,0.17,8.00,96.17,92.38,100.00,1.86,0.17,8.00,97.61,92.38,100.00,1.91,0.17,9.00,98.56,92.38,100.00,1.96,0.17,9.00,99.52,92.38,100.00,1.93,0.17,9.00,99.04,92.34,100.00,1.79,0.16,10.00,96.21,91.04,100.00,1.81,0.16,10.00,96.21,91.04,100.00,1.81,0.14,11.00,97.18,90.65,100.00,1.85,0.15,11.00,97.65,90.65,100.00,1.84,0.15,11.00,97.65,91.12,100.00,1.96,0.17,10.00,96.63,90.43,100.00,1.85,0.16,10.00,95.67,89.47,100.00
AZERBAIJAN,AZE,-1.16,0.20,5.00,12.92,6.67,24.76,-1.09,0.20,7.00,15.79,8.10,24.76,-1.11,0.16,9.00,14.35,7.62,26.19,-0.85,0.17,10.00,24.88,13.81,33.81,-0.81,0.17,11.00,24.40,15.71,34.76,-0.84,0.15,12.00,20.10,14.29,33.81,-0.74,0.15,13.00,28.71,18.10,37.14,-0.82,0.15,15.00,24.40,14.29,34.76,-0.80,0.15,15.00,23.44,15.24,35.71,-0.76,0.15,14.00,24.04,16.75,37.80,-0.83,0.13,15.00,21.80,16.51,33.96,-0.85,0.13,15.00,23.22,13.21,32.08,-0.87,0.13,15.00,21.13,14.49,30.84,-0.80,0.13,15.00,24.41,16.82,33.64,-0.68,0.13,14.00,30.05,20.56,40.65,-0.61,0.14,13.00,30.29,21.53,40.67,-0.60,0.14,13.00,31.25,20.57,41.15
"BAHAMAS, THE",BHS,1.09,0.31,4.00,85.65,64.29,94.76,1.23,0.29,4.00,88.52,73.81,94.29,1.25,0.24,4.00,86.60,76.19,94.29,1.36,0.27,4.00,89.47,76.67,96.19,1.36,0.26,4.00,90.43,79.05,95.24,1.35,0.26,4.00,89.95,80.48,95.24,1.33,0.27,4.00,89.95,80.00,95.71,1.09,0.27,4.00,83.73,68.57,90.95,1.25,0.26,4.00,88.04,74.76,92.86,1.19,0.25,5.00,86.54,72.25,91.39,0.78,0.19,6.00,72.51,63.21,84.43,0.69,0.19,6.00,69.67,63.21,81.60,0.57,0.18,6.00,68.08,62.15,74.30,0.59,0.18,6.00,68.08,62.15,76.64,0.61,0.19,6.00,69.01,61.68,78.04,0.64,0.21,6.00,75.00,65.55,81.34,0.56,0.20,6.00,71.15,63.64,77.99
BAHRAIN,BHR,0.04,0.21,5.00,53.11,42.38,60.95,0.39,0.22,5.00,62.20,52.38,73.81,0.37,0.18,6.00,61.72,54.29,70.95,0.61,0.18,8.00,66.51,60.48,77.14,0.64,0.20,8.00,69.86,61.43,80.95,0.76,0.18,9.00,72.73,64.29,83.33,0.65,0.18,9.00,68.90,60.00,80.95,0.42,0.18,9.00,63.16,56.19,70.00,0.57,0.18,9.00,66.99,59.05,75.71,0.57,0.18,9.00,67.31,59.33,76.56,0.55,0.16,11.00,65.88,61.32,74.53,0.48,0.16,11.00,64.93,60.85,71.70,0.39,0.15,11.00,62.44,59.35,68.69,0.28,0.16,11.00,61.97,57.01,66.36,0.36,0.16,11.00,61.97,56.54,69.63,0.45,0.18,9.00,68.27,63.64,76.56,0.46,0.18,9.00,67.79,61.24,75.12
BANGLADESH,BGD,-0.96,0.21,5.00,18.66,10.00,31.43,-0.93,0.21,6.00,19.62,9.52,31.90,-0.95,0.16,9.00,20.10,11.90,30.48,-0.90,0.17,10.00,22.49,10.95,33.33,-1.02,0.17,10.00,17.22,8.57,28.10,-1.00,0.16,12.00,17.22,8.57,28.57,-0.97,0.16,12.00,18.18,10.00,30.95,-0.89,0.15,14.00,22.01,11.43,31.90,-0.84,0.15,15.00,22.49,12.38,34.76,-0.76,0.15,15.00,24.52,16.75,37.80,-0.77,0.15,15.00,24.64,16.51,36.79,-0.79,0.14,15.00,25.59,15.57,34.43,-0.71,0.13,16.00,28.64,19.16,37.85,-0.90,0.14,16.00,19.72,13.08,31.31,-0.82,0.14,15.00,22.54,14.49,35.05,-0.72,0.15,13.00,25.96,14.83,37.32,-0.70,0.15,13.00,27.40,17.22,37.80
BARBADOS,BRB,0.96,0.34,3.00,81.34,60.95,93.33,1.20,0.31,3.00,85.65,71.43,94.29,1.34,0.25,3.00,89.95,78.57,95.71,1.45,0.28,3.00,91.39,80.48,100.00,1.45,0.27,3.00,90.91,82.38,98.10,1.39,0.27,4.00,90.91,81.43,95.71,1.28,0.27,4.00,89.00,76.67,94.76,1.20,0.23,5.00,89.00,70.95,91.90,1.29,0.24,5.00,88.52,78.57,92.38,1.27,0.24,5.00,87.98,76.56,92.34,0.97,0.19,6.00,81.04,68.87,87.74,1.04,0.18,6.00,83.41,71.23,88.21,1.04,0.17,6.00,82.63,73.36,87.38,1.00,0.18,6.00,81.22,71.50,86.45,1.01,0.18,6.00,82.16,72.43,86.45,1.06,0.20,6.00,81.73,76.56,86.60,1.05,0.21,5.00,82.21,75.12,88.04
BELARUS,BLR,-0.73,0.28,4.00,27.75,11.90,42.38,-0.80,0.25,6.00,23.44,10.95,37.14,-1.02,0.21,8.00,17.70,7.62,30.95,-1.27,0.21,9.00,9.09,2.86,20.95,-1.20,0.20,9.00,11.96,5.24,22.86,-1.26,0.18,9.00,8.61,5.24,18.10,-1.19,0.19,9.00,10.53,4.76,21.90,-1.29,0.17,11.00,8.13,3.33,15.71,-1.15,0.16,11.00,11.96,5.71,21.90,-1.01,0.16,12.00,16.35,8.13,24.88,-1.00,0.15,12.00,17.06,9.91,26.89,-1.04,0.14,12.00,15.17,8.49,25.00,-1.08,0.14,11.00,14.08,7.01,22.90,-0.91,0.13,13.00,18.31,13.08,29.91,-0.88,0.13,13.00,20.66,13.55,30.37,-0.81,0.14,12.00,22.60,13.88,32.06,-0.79,0.14,12.00,24.04,14.35,33.01
BELGIUM,BEL,1.31,0.19,7.00,89.95,82.38,94.76,1.18,0.19,7.00,85.17,76.19,91.90,1.28,0.16,8.00,88.04,83.33,93.33,1.32,0.18,8.00,89.00,82.38,93.33,1.32,0.18,8.00,89.47,82.38,92.86,1.31,0.17,8.00,89.00,83.33,92.86,1.24,0.17,8.00,87.56,80.95,90.95,1.20,0.17,9.00,88.52,78.10,90.48,1.31,0.17,9.00,89.00,82.86,91.90,1.33,0.17,9.00,89.42,83.73,91.39,1.36,0.16,10.00,88.63,84.43,92.45,1.37,0.16,10.00,88.63,83.49,92.45,1.40,0.14,11.00,89.20,85.51,92.06,1.41,0.15,11.00,88.73,85.98,92.06,1.41,0.15,11.00,89.20,85.98,92.52,1.51,0.17,10.00,88.94,86.12,92.34,1.42,0.16,10.00,88.94,84.21,90.91
BELIZE,BLZ,0.01,0.34,3.00,51.67,31.90,64.29,-0.10,0.29,4.00,49.28,32.38,61.90,0.05,0.24,4.00,53.59,41.43,63.33,-0.13,0.26,5.00,48.80,35.24,60.48,0.05,0.24,5.00,54.07,43.33,62.86,-0.21,0.23,6.00,46.41,34.29,59.05,-0.16,0.24,6.00,48.33,36.19,58.57,-0.08,0.19,7.00,51.67,43.81,59.52,-0.12,0.19,8.00,51.20,41.90,59.05,-0.22,0.18,9.00,49.52,37.80,55.02,-0.38,0.17,9.00,43.13,30.66,52.36,-0.36,0.17,9.00,44.08,32.08,53.30,-0.49,0.15,10.00,38.03,26.64,48.60,-0.46,0.16,9.00,39.91,28.97,50.00,-0.47,0.16,9.00,40.38,28.50,49.53,-0.74,0.17,8.00,24.52,14.35,37.32,-0.74,0.17,9.00,25.96,14.83,37.80
