,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,0.27,0.23,6.00,62.44,53.40,73.30,0.38,0.19,6.00,67.80,57.77,76.21,0.06,0.19,6.00,58.54,45.63,66.99,-0.26,0.17,8.00,46.83,33.50,58.25,0.00,0.17,8.00,58.54,45.63,65.05,-0.02,0.17,9.00,58.05,47.09,66.50,-0.09,0.17,9.00,53.66,42.72,60.68,0.01,0.17,11.00,55.61,45.63,65.05,0.00,0.19,11.00,53.88,45.41,64.25,-0.13,0.20,10.00,50.49,40.58,60.39,-0.32,0.18,11.00,45.93,31.90,55.71,-0.18,0.19,11.00,48.33,38.10,59.52,-0.14,0.19,11.00,49.29,41.04,60.85,-0.25,0.19,11.00,46.92,33.02,58.49,-0.30,0.19,11.00,45.97,32.55,55.66,-0.18,0.19,11.00,45.67,33.49,59.81,-0.09,0.20,11.00,49.52,40.19,62.68
ARMENIA,ARM,-0.41,0.31,1.00,40.00,17.48,59.22,-0.54,0.25,3.00,31.71,15.05,50.97,-0.57,0.25,4.00,31.71,12.62,50.00,-0.17,0.23,5.00,49.76,33.50,62.14,-0.26,0.24,5.00,47.80,28.16,61.17,-0.14,0.24,6.00,52.20,33.98,66.02,-0.13,0.20,7.00,51.71,38.35,60.68,-0.22,0.17,10.00,47.32,35.92,56.31,-0.36,0.19,10.00,44.17,28.02,52.17,-0.17,0.20,10.00,49.03,38.16,58.94,-0.02,0.20,10.00,55.50,45.71,64.29,-0.17,0.20,10.00,49.28,38.57,60.48,-0.10,0.20,10.00,51.66,41.98,61.79,-0.02,0.19,11.00,54.98,44.34,62.74,0.09,0.19,11.00,58.29,46.70,65.57,-0.17,0.20,11.00,46.15,33.97,60.77,-0.14,0.20,11.00,48.56,38.28,60.29
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.19,0.42,1.00,87.32,70.39,92.72,1.25,0.32,1.00,87.80,73.79,95.63,1.25,0.41,1.00,87.32,70.87,97.57,1.24,0.47,1.00,85.92,68.60,97.58,1.27,0.45,1.00,86.41,70.05,98.07,1.47,0.32,2.00,89.00,77.62,98.10,1.23,0.33,2.00,85.65,72.38,95.71,1.22,0.32,2.00,84.83,72.17,95.28,1.24,0.31,2.00,85.31,72.64,94.81,1.22,0.29,2.00,84.83,72.64,94.81,0.86,0.35,2.00,75.00,63.64,89.00,0.86,0.33,2.00,76.44,65.55,87.56
AUSTRALIA,AUS,1.66,0.23,5.00,90.73,87.38,99.03,1.60,0.21,5.00,90.24,87.86,95.15,1.77,0.21,5.00,91.71,89.32,99.03,1.70,0.19,5.00,91.71,88.83,97.57,1.81,0.19,5.00,93.17,89.81,99.03,2.04,0.21,5.00,96.59,91.26,100.00,1.77,0.19,5.00,95.12,88.83,99.03,1.76,0.20,6.00,94.15,87.86,98.54,1.83,0.22,6.00,96.12,88.89,99.03,1.78,0.23,6.00,95.63,87.92,99.03,1.70,0.21,7.00,94.26,87.62,98.57,1.77,0.22,7.00,95.69,88.10,99.05,1.70,0.22,7.00,94.79,87.26,98.58,1.62,0.22,7.00,94.31,86.79,99.06,1.64,0.21,7.00,94.79,87.26,99.06,1.59,0.23,7.00,91.83,86.60,98.56,1.56,0.23,7.00,92.31,85.17,99.04
AUSTRIA,AUT,1.86,0.23,5.00,94.63,89.81,100.00,1.88,0.21,5.00,93.66,89.32,100.00,1.95,0.21,5.00,95.61,89.32,100.00,1.97,0.19,5.00,96.10,90.78,100.00,2.02,0.19,5.00,97.56,91.75,100.00,1.91,0.21,5.00,93.66,90.78,99.51,1.72,0.19,5.00,92.68,88.83,99.03,1.82,0.20,6.00,95.61,88.35,99.03,1.87,0.22,6.00,96.60,90.34,99.03,1.77,0.23,6.00,94.66,87.92,99.03,1.67,0.21,7.00,93.78,87.14,98.10,1.84,0.22,7.00,97.13,89.05,99.05,1.61,0.22,7.00,93.36,85.38,98.58,1.57,0.22,7.00,92.89,84.43,98.11,1.58,0.21,7.00,92.89,84.91,98.58,1.57,0.23,7.00,91.35,86.60,98.56,1.47,0.23,7.00,90.38,84.21,97.13
AZERBAIJAN,AZE,-0.94,0.27,2.00,16.59,5.83,34.47,-0.97,0.21,4.00,14.63,6.31,28.16,-0.98,0.18,6.00,13.17,6.80,26.70,-0.95,0.17,7.00,15.12,8.74,28.16,-0.80,0.16,7.00,21.46,12.14,34.47,-0.75,0.17,8.00,21.95,11.65,37.86,-0.68,0.17,9.00,28.78,16.99,40.29,-0.68,0.17,10.00,28.29,16.99,40.29,-0.78,0.19,10.00,23.79,14.01,38.16,-0.77,0.20,9.00,22.82,13.04,41.06,-0.63,0.20,10.00,31.10,17.14,46.19,-0.79,0.20,10.00,23.92,12.38,39.52,-0.76,0.20,10.00,25.12,13.68,41.98,-0.77,0.20,10.00,25.59,13.68,40.09,-0.46,0.19,10.00,38.39,24.53,48.58,-0.34,0.20,10.00,42.31,25.84,55.50,-0.23,0.21,10.00,45.67,32.06,56.46
"BAHAMAS, THE",BHS,1.34,0.29,2.00,88.29,78.64,93.20,1.28,0.28,2.00,88.29,78.16,91.75,1.25,0.31,2.00,87.80,77.67,91.26,1.26,0.28,2.00,87.32,76.21,91.75,1.19,0.31,2.00,85.37,73.30,91.75,1.14,0.34,2.00,85.37,72.33,91.26,1.17,0.28,2.00,84.39,72.82,91.26,1.14,0.33,2.00,83.90,71.84,92.72,1.11,0.35,2.00,83.01,71.01,93.72,1.15,0.35,2.00,83.50,71.50,94.20,0.99,0.28,3.00,79.43,70.00,88.10,1.07,0.27,4.00,81.82,70.00,90.00,0.96,0.27,4.00,78.67,68.40,87.74,0.98,0.27,4.00,79.62,69.34,88.68,0.87,0.26,3.00,75.83,66.04,87.26,0.72,0.31,3.00,74.04,61.72,86.60,0.71,0.29,3.00,73.56,62.20,85.17
BAHRAIN,BHR,0.63,0.25,3.00,72.68,61.17,83.50,0.56,0.22,3.00,73.66,61.17,81.55,0.55,0.24,3.00,71.71,60.68,80.58,0.53,0.19,5.00,70.24,62.14,78.64,0.46,0.21,4.00,67.80,61.17,77.67,0.59,0.20,5.00,72.68,66.50,79.61,0.40,0.19,5.00,64.88,58.74,72.33,0.40,0.20,5.00,66.34,56.31,76.21,0.42,0.23,5.00,66.99,54.59,77.78,0.41,0.23,5.00,66.50,56.04,77.29,0.50,0.22,7.00,69.38,59.05,75.71,0.48,0.22,7.00,67.94,59.05,76.67,0.55,0.22,7.00,68.72,60.85,77.36,0.55,0.22,7.00,69.67,60.85,76.42,0.60,0.21,7.00,70.14,62.26,78.30,0.59,0.23,7.00,72.60,61.72,77.99,0.57,0.23,7.00,73.08,60.29,76.56
BANGLADESH,BGD,-0.73,0.25,3.00,24.39,12.14,43.69,-0.43,0.21,4.00,39.02,21.84,54.37,-0.56,0.17,6.00,32.20,17.96,44.66,-0.70,0.16,7.00,27.32,14.56,37.86,-0.71,0.15,7.00,25.85,16.02,37.86,-0.78,0.16,8.00,20.98,11.65,35.44,-0.86,0.17,8.00,21.46,12.14,33.98,-0.77,0.17,10.00,26.34,14.08,36.41,-0.68,0.19,10.00,27.67,16.43,43.96,-0.71,0.19,10.00,27.67,14.98,41.55,-0.79,0.19,10.00,23.44,11.43,40.00,-0.75,0.19,10.00,25.84,13.81,40.48,-0.76,0.19,10.00,24.64,14.15,41.04,-0.81,0.19,10.00,23.70,13.21,38.21,-0.80,0.19,10.00,23.70,13.68,36.32,-0.77,0.20,10.00,22.12,14.83,36.84,-0.73,0.20,10.00,24.04,12.92,40.67
BARBADOS,BRB,1.44,0.31,1.00,89.76,81.07,97.09,1.43,0.34,1.00,89.27,79.13,96.12,1.41,0.37,1.00,89.27,79.13,97.57,1.37,0.32,1.00,88.78,78.64,94.66,1.30,0.38,1.00,89.27,73.30,95.63,1.09,0.38,2.00,82.93,69.42,91.26,1.26,0.31,2.00,88.29,73.79,94.66,1.47,0.26,3.00,88.29,81.55,96.60,1.36,0.33,3.00,87.86,77.78,97.10,1.60,0.34,2.00,91.75,81.16,99.03,1.51,0.27,3.00,90.91,81.90,97.62,1.41,0.29,3.00,88.52,78.57,97.62,1.46,0.28,3.00,89.10,80.66,98.11,1.46,0.27,3.00,89.57,80.66,98.11,1.36,0.26,3.00,88.15,78.30,96.23,1.23,0.29,3.00,87.02,74.16,94.26,1.00,0.33,2.00,79.81,69.38,91.87
