,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
ARGENTINA,ARG,0.62,0.27,6.00,70.10,57.07,83.90,0.59,0.25,7.00,69.61,56.59,80.49,0.29,0.22,7.00,61.76,51.22,71.22,-0.94,0.20,8.00,18.63,10.73,28.29,-0.72,0.18,8.00,23.53,17.07,39.02,-0.70,0.18,9.00,23.53,15.61,39.51,-0.57,0.17,9.00,28.92,20.98,45.85,-0.63,0.18,10.00,26.96,18.54,42.93,-0.66,0.18,10.00,26.21,17.39,39.61,-0.74,0.18,9.00,23.30,16.43,37.68,-0.84,0.17,10.00,23.44,12.86,32.38,-0.76,0.17,10.00,24.40,16.19,34.76,-0.72,0.16,11.00,25.59,18.87,35.38,-0.94,0.17,11.00,20.38,10.38,28.30,-0.97,0.17,11.00,18.01,9.43,26.89,-1.08,0.18,11.00,12.50,6.22,25.36,-0.96,0.17,11.00,16.83,8.13,28.71
ARMENIA,ARM,-0.35,0.39,3.00,37.75,18.05,62.44,-0.11,0.31,5.00,48.04,24.88,65.37,-0.13,0.28,6.00,45.10,27.32,62.44,0.01,0.23,7.00,53.43,40.98,63.41,0.18,0.19,7.00,57.35,49.27,66.34,0.13,0.19,8.00,58.33,48.29,65.85,0.08,0.18,9.00,55.39,48.29,62.93,0.28,0.18,11.00,58.82,54.63,67.32,0.26,0.17,11.00,58.74,53.14,68.60,0.31,0.17,11.00,61.17,54.11,68.12,0.28,0.16,11.00,59.81,53.81,70.00,0.30,0.15,11.00,59.81,53.33,69.52,0.26,0.15,11.00,57.82,52.83,69.81,0.34,0.16,12.00,61.61,54.72,72.17,0.25,0.17,12.00,59.24,53.30,67.92,0.22,0.18,12.00,59.62,51.20,67.94,0.25,0.17,12.00,61.06,52.15,70.81
ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.73,0.33,1.00,73.53,61.46,86.83,0.85,0.25,1.00,75.00,62.93,87.80,0.85,0.32,1.00,75.49,60.49,91.22,0.86,0.37,1.00,77.18,58.45,91.30,0.88,0.39,1.00,78.64,57.49,92.27,1.31,0.34,2.00,86.60,73.81,99.52,1.37,0.36,2.00,88.04,75.71,100.00,1.35,0.36,2.00,90.05,75.94,99.53,1.43,0.35,2.00,91.00,76.89,100.00,1.45,0.34,2.00,91.00,77.83,100.00,1.30,0.35,2.00,89.42,74.16,98.09,1.38,0.34,2.00,90.87,76.08,98.56
AUSTRALIA,AUS,1.23,0.27,6.00,87.25,75.61,96.59,1.43,0.27,6.00,93.14,80.49,97.56,1.60,0.23,6.00,94.61,86.83,99.02,1.44,0.23,6.00,91.67,82.93,98.05,1.58,0.20,6.00,93.63,87.32,99.51,1.74,0.21,6.00,96.08,88.78,100.00,1.60,0.19,6.00,94.61,88.29,100.00,1.62,0.21,6.00,95.10,87.32,100.00,1.68,0.23,6.00,95.63,86.96,100.00,1.76,0.24,6.00,96.60,87.92,100.00,1.82,0.22,7.00,98.09,91.43,100.00,1.69,0.24,7.00,96.65,86.19,100.00,1.85,0.22,8.00,98.10,91.98,100.00,1.78,0.22,8.00,97.16,90.09,100.00,1.80,0.22,8.00,97.16,90.09,100.00,1.87,0.23,8.00,98.08,91.39,100.00,1.80,0.22,8.00,96.63,91.39,99.04
AUSTRIA,AUT,1.57,0.27,6.00,95.10,84.39,99.51,1.34,0.27,6.00,91.67,79.51,97.07,1.49,0.23,6.00,93.63,83.90,98.54,1.56,0.23,6.00,93.63,84.88,99.51,1.54,0.20,6.00,92.65,85.85,99.51,1.54,0.21,6.00,92.16,83.90,99.51,1.61,0.19,6.00,95.59,88.29,100.00,1.65,0.21,6.00,96.08,87.80,100.00,1.70,0.23,6.00,96.12,86.96,100.00,1.60,0.24,6.00,94.17,86.47,100.00,1.46,0.22,7.00,91.87,81.90,98.57,1.46,0.24,7.00,92.34,81.90,98.57,1.39,0.22,8.00,90.52,80.19,95.75,1.52,0.22,8.00,91.47,84.43,98.58,1.49,0.22,8.00,91.47,83.96,98.11,1.49,0.23,8.00,91.35,83.25,97.61,1.43,0.22,8.00,91.35,80.86,96.17
AZERBAIJAN,AZE,-1.10,0.32,4.00,15.20,4.88,26.83,-0.95,0.27,6.00,15.69,7.80,27.80,-0.91,0.25,8.00,16.67,9.76,30.24,-0.72,0.21,9.00,24.02,15.12,40.00,-0.60,0.17,9.00,28.43,18.54,43.90,-0.59,0.17,10.00,28.43,18.54,43.90,-0.55,0.17,11.00,30.88,21.95,45.85,-0.51,0.18,11.00,32.35,21.46,46.34,-0.45,0.17,11.00,34.47,22.71,50.24,-0.35,0.18,10.00,41.26,28.99,52.66,-0.30,0.16,11.00,43.06,31.90,52.38,-0.37,0.16,11.00,39.71,27.62,49.05,-0.37,0.16,11.00,38.39,29.25,50.00,-0.45,0.17,11.00,35.55,25.47,46.70,-0.41,0.18,11.00,36.49,25.47,48.11,-0.29,0.18,11.00,42.79,29.67,54.07,-0.25,0.18,11.00,45.67,32.06,55.02
"BAHAMAS, THE",BHS,0.92,0.40,3.00,78.43,60.00,95.61,1.01,0.40,3.00,81.37,62.93,95.61,1.13,0.37,3.00,85.29,68.29,95.61,1.30,0.30,3.00,87.75,75.12,98.05,1.14,0.25,3.00,82.84,73.17,92.68,1.11,0.26,3.00,80.88,72.68,92.68,1.10,0.22,3.00,79.41,71.22,91.22,1.04,0.26,3.00,80.88,69.76,91.71,1.02,0.29,3.00,81.07,68.60,91.79,1.04,0.31,3.00,81.55,67.15,93.24,0.76,0.27,4.00,74.16,61.90,84.76,0.52,0.28,4.00,69.38,53.33,79.52,0.49,0.29,4.00,68.25,52.83,78.77,0.37,0.28,4.00,63.03,49.53,75.94,0.17,0.28,4.00,57.35,43.87,73.11,0.12,0.28,4.00,55.29,40.67,71.77,0.25,0.28,4.00,61.54,47.85,73.21
BAHRAIN,BHR,0.53,0.32,4.00,68.14,51.71,83.90,0.66,0.33,4.00,71.57,55.12,87.32,0.69,0.31,4.00,74.02,58.05,86.83,0.87,0.22,6.00,75.98,66.34,86.34,0.62,0.20,5.00,69.12,62.44,77.56,0.73,0.20,6.00,74.02,64.88,79.51,0.69,0.18,6.00,70.59,62.93,77.56,0.70,0.21,6.00,71.57,62.44,80.49,0.79,0.21,6.00,74.27,65.22,85.51,0.72,0.22,6.00,73.30,63.29,81.64,0.71,0.20,7.00,73.68,63.33,80.48,0.73,0.21,7.00,75.12,64.29,81.90,0.74,0.20,7.00,75.83,64.62,81.60,0.70,0.23,7.00,74.41,60.38,81.13,0.61,0.22,7.00,72.04,58.96,79.72,0.70,0.23,7.00,74.04,63.16,81.34,0.83,0.22,7.00,76.44,67.94,85.17
BANGLADESH,BGD,-1.06,0.32,4.00,16.18,5.85,28.29,-0.89,0.30,5.00,17.65,7.80,33.66,-0.87,0.24,7.00,18.63,11.22,31.22,-1.01,0.21,8.00,18.14,7.80,25.85,-0.92,0.18,8.00,17.65,12.20,26.83,-1.10,0.18,9.00,13.24,6.83,20.98,-1.03,0.17,9.00,16.67,9.27,24.39,-0.97,0.18,10.00,17.16,10.24,24.88,-0.92,0.18,10.00,18.93,11.11,27.05,-0.89,0.17,10.00,17.96,12.08,29.95,-0.85,0.16,10.00,22.97,12.86,31.43,-0.83,0.16,10.00,22.49,13.33,31.90,-0.80,0.16,11.00,22.75,14.62,32.55,-0.94,0.17,11.00,19.43,10.38,28.30,-0.91,0.17,11.00,21.33,11.32,30.19,-0.94,0.18,11.00,18.27,9.57,28.71,-0.93,0.18,11.00,17.31,9.09,29.19
BARBADOS,BRB,1.28,0.42,2.00,89.22,68.78,99.02,1.29,0.42,2.00,91.18,69.76,98.54,1.26,0.38,2.00,89.22,71.22,99.02,1.06,0.35,2.00,81.86,66.34,95.12,1.09,0.28,2.00,81.86,69.27,92.68,1.04,0.28,3.00,79.41,69.27,91.22,1.16,0.24,3.00,83.82,71.71,93.17,0.98,0.26,4.00,78.92,66.34,91.22,1.06,0.29,4.00,82.52,68.60,92.75,0.85,0.31,3.00,76.21,62.32,87.92,0.53,0.28,4.00,68.90,53.81,80.00,0.45,0.29,4.00,66.51,52.38,78.57,0.60,0.29,4.00,71.56,55.19,81.60,0.43,0.29,4.00,66.35,52.36,77.36,0.44,0.28,4.00,65.88,53.30,77.83,0.31,0.29,4.00,63.94,48.33,75.60,0.51,0.29,3.00,69.71,54.55,79.90
